ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,A
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C
462408,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,A
465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,B
460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,A
466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,B
466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A
465091,Male,Yes,63,Yes,Entertainment,,Average,3.0,Cat_6,C
466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
463394,Male,Yes,41,Yes,Marketing,,High,2.0,Cat_6,B
462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B
467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A
459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D
460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C
464306,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,B
460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
463570,Male,Yes,35,Yes,Artist,,Average,4.0,Cat_6,C
460032,Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,A
464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,D
459997,Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,A
460967,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
466442,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,D
460011,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,C
467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
462124,Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,A
460280,Male,Yes,39,Yes,Entertainment,0.0,Low,1.0,Cat_6,D
465569,Male,Yes,35,Yes,Artist,1.0,High,3.0,Cat_6,A
467777,Male,No,49,Yes,Doctor,,Low,1.0,Cat_6,C
461799,Male,Yes,43,Yes,Doctor,13.0,High,2.0,Cat_6,B
466890,Male,Yes,47,Yes,Artist,0.0,Average,6.0,Cat_7,B
462888,Male,Yes,39,Yes,Executive,,High,3.0,Cat_6,B
467479,Male,Yes,35,Yes,Executive,1.0,Average,4.0,Cat_6,C
460873,Male,Yes,46,Yes,Entertainment,0.0,Average,3.0,Cat_4,B
466776,Male,Yes,86,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
459462,Male,Yes,66,Yes,Artist,0.0,High,2.0,Cat_6,B
461629,Male,Yes,53,Yes,Artist,0.0,Low,3.0,Cat_6,B
466412,Male,Yes,26,Yes,Artist,1.0,Average,3.0,Cat_6,B
466090,Male,Yes,57,Yes,Entertainment,1.0,Low,,Cat_6,A
459027,Male,Yes,67,Yes,Doctor,1.0,Average,4.0,Cat_6,B
464300,Male,Yes,42,Yes,Artist,0.0,Low,3.0,Cat_4,A
463287,Male,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_2,C
461392,Male,Yes,71,Yes,Artist,0.0,Average,5.0,Cat_6,C
467780,Male,Yes,47,Yes,Artist,,Low,3.0,Cat_6,A
462130,Male,Yes,45,Yes,Artist,9.0,Average,2.0,Cat_6,C
464736,Male,No,28,Yes,Engineer,0.0,Low,5.0,Cat_4,D
466211,Male,Yes,47,Yes,Artist,0.0,Low,,Cat_6,C
463531,Male,No,32,Yes,Doctor,0.0,Low,4.0,Cat_6,A
459260,Male,Yes,37,Yes,Artist,0.0,Average,4.0,Cat_7,C
462772,Male,Yes,37,Yes,Healthcare,1.0,High,4.0,Cat_6,B
460056,Male,No,30,Yes,Healthcare,3.0,Low,5.0,Cat_1,C
461886,Male,Yes,33,Yes,Healthcare,9.0,Low,2.0,Cat_6,D
459316,Male,Yes,32,Yes,Healthcare,1.0,Low,2.0,Cat_6,D
462064,Male,Yes,58,Yes,Artist,0.0,Average,3.0,Cat_7,C
463378,Male,No,30,Yes,Doctor,1.0,Low,1.0,Cat_3,B
463114,Male,No,41,Yes,Artist,,Low,3.0,Cat_6,C
460789,Male,Yes,36,Yes,Executive,1.0,Low,3.0,Cat_6,D
467307,Male,Yes,57,Yes,Executive,1.0,High,3.0,Cat_6,C
464645,Male,,52,Yes,Artist,1.0,Average,5.0,Cat_4,C
462493,Male,Yes,52,Yes,Artist,1.0,Average,6.0,Cat_6,C
459322,Male,No,36,Yes,Marketing,0.0,Low,1.0,Cat_6,A
461114,Male,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_3,C
465165,Male,No,61,Yes,Artist,0.0,Low,1.0,Cat_6,B
464526,Male,Yes,52,Yes,Entertainment,1.0,Average,4.0,Cat_6,A
465417,Male,Yes,40,Yes,Entertainment,,Average,2.0,Cat_4,B
460107,Male,Yes,51,Yes,Engineer,1.0,Average,5.0,Cat_6,C
461873,Male,No,29,Yes,Doctor,1.0,Low,4.0,Cat_6,C
467204,Male,No,27,Yes,Healthcare,,Low,3.0,Cat_6,D
463757,Male,No,39,Yes,Artist,0.0,Low,3.0,Cat_6,B
461664,Male,Yes,62,Yes,Artist,0.0,Average,4.0,Cat_6,C
464105,Male,Yes,65,Yes,Entertainment,1.0,Average,2.0,Cat_6,C
466790,Male,Yes,45,Yes,Doctor,1.0,Average,2.0,Cat_3,A
464508,Male,Yes,49,Yes,Executive,1.0,High,3.0,Cat_6,C
458999,Male,Yes,55,Yes,Artist,1.0,Average,2.0,Cat_6,C
465500,Male,Yes,65,Yes,Entertainment,1.0,High,2.0,Cat_6,C
465230,Male,Yes,72,Yes,Entertainment,1.0,Average,3.0,Cat_6,C
460825,Male,No,30,Yes,Doctor,1.0,Low,3.0,Cat_4,D
461125,Male,Yes,51,Yes,Homemaker,1.0,Low,,Cat_4,A
463471,Male,No,57,Yes,Marketing,1.0,Low,4.0,Cat_7,A
465879,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
463622,Male,No,27,Yes,Healthcare,8.0,Low,1.0,Cat_3,C
461928,Male,Yes,69,Yes,Lawyer,,Low,1.0,,A
460198,Male,No,43,Yes,Entertainment,9.0,Low,1.0,Cat_6,D
459298,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,C
466414,Male,Yes,66,Yes,Artist,1.0,Low,3.0,Cat_6,A
465163,Male,Yes,46,Yes,Artist,11.0,Average,5.0,Cat_6,C
460767,Male,Yes,57,Yes,Entertainment,8.0,Average,5.0,Cat_2,A
459873,Male,Yes,55,Yes,Artist,,Average,3.0,Cat_4,A
465155,Male,Yes,77,Yes,Lawyer,1.0,Low,1.0,Cat_6,C
461704,Male,Yes,30,Yes,Healthcare,1.0,Low,2.0,Cat_6,A
465006,Male,No,39,Yes,Entertainment,5.0,Low,1.0,Cat_6,A
459816,Male,Yes,37,Yes,Doctor,,Low,2.0,Cat_6,D
467106,Male,Yes,45,Yes,Entertainment,4.0,Average,3.0,Cat_2,B
467373,Male,No,31,Yes,Healthcare,,Low,1.0,Cat_6,D
459046,Male,Yes,57,Yes,Executive,,Low,4.0,Cat_2,A
459335,Male,No,26,Yes,Healthcare,,Low,3.0,Cat_1,D
462695,Male,Yes,51,Yes,Artist,8.0,Low,5.0,Cat_6,A
462128,Male,Yes,38,Yes,Artist,9.0,Average,2.0,Cat_6,C
464470,Male,Yes,48,Yes,Artist,0.0,Average,4.0,Cat_6,C
466018,Male,Yes,72,Yes,Artist,0.0,Low,3.0,Cat_4,C
464106,Male,Yes,55,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
461627,Male,Yes,50,Yes,Doctor,1.0,Low,2.0,Cat_6,C
467543,Male,Yes,68,Yes,Lawyer,0.0,High,2.0,Cat_6,B
465206,Male,Yes,47,Yes,Artist,13.0,Low,1.0,Cat_6,C
461668,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_2,C
461955,Male,No,31,Yes,Healthcare,0.0,Low,4.0,Cat_6,D
466752,Male,Yes,37,Yes,Healthcare,0.0,Low,1.0,Cat_6,D
462778,Male,Yes,60,Yes,Entertainment,0.0,Low,,Cat_6,D
466902,Male,Yes,50,Yes,Doctor,0.0,Average,3.0,Cat_6,C
459534,Male,Yes,36,Yes,Artist,0.0,Average,2.0,Cat_6,C
464911,Male,Yes,56,Yes,Artist,0.0,Average,3.0,Cat_4,C
464427,Male,Yes,62,Yes,Doctor,1.0,Average,4.0,Cat_3,C
465289,Male,Yes,25,Yes,Executive,1.0,High,2.0,Cat_6,A
464219,Male,No,27,Yes,Marketing,1.0,Low,2.0,Cat_3,A
465137,Male,Yes,57,Yes,Artist,1.0,Average,4.0,Cat_6,C
462289,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_3,A
467459,Male,Yes,40,Yes,Executive,,High,5.0,Cat_6,B
467647,Male,No,28,Yes,Healthcare,2.0,Low,3.0,Cat_6,D
459803,Male,No,39,Yes,Doctor,4.0,Low,3.0,Cat_6,C
464136,Male,Yes,69,Yes,Artist,0.0,Average,3.0,Cat_6,A
461064,Male,No,45,Yes,Artist,1.0,Low,5.0,Cat_6,C
465707,Male,Yes,39,Yes,Entertainment,1.0,Average,4.0,Cat_3,C
463960,Male,Yes,26,Yes,Doctor,1.0,Average,2.0,Cat_7,A
462395,Male,Yes,53,Yes,Artist,1.0,High,2.0,Cat_6,D
461015,Male,Yes,40,Yes,Entertainment,1.0,Average,2.0,Cat_3,C
466267,Male,Yes,26,Yes,Entertainment,0.0,Average,3.0,Cat_3,A
463876,Male,Yes,49,Yes,Entertainment,1.0,Average,5.0,Cat_6,C
461245,Male,Yes,39,Yes,,5.0,Average,3.0,Cat_6,A
467693,Male,Yes,61,Yes,Entertainment,7.0,High,5.0,Cat_6,B
465936,Male,No,35,Yes,Artist,6.0,Low,3.0,Cat_6,B
460215,Male,Yes,48,Yes,Entertainment,9.0,Low,1.0,Cat_6,D
462076,Male,Yes,75,Yes,Lawyer,1.0,Low,2.0,Cat_6,D
462659,Male,Yes,25,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
464490,Male,Yes,85,Yes,Artist,1.0,High,4.0,Cat_6,A
461920,Male,No,30,Yes,Entertainment,0.0,Low,,Cat_6,D
460411,Male,Yes,43,Yes,Healthcare,7.0,High,2.0,Cat_6,A
459062,Male,,48,Yes,Executive,,High,5.0,Cat_6,B
463308,Male,Yes,53,Yes,Engineer,1.0,Low,2.0,Cat_3,A
463478,Male,Yes,50,Yes,Artist,0.0,Average,4.0,Cat_6,B
467287,Male,No,28,Yes,Entertainment,,Low,3.0,Cat_4,D
459778,Male,Yes,48,Yes,Entertainment,0.0,Average,4.0,Cat_6,B
462675,Male,Yes,56,Yes,Artist,,Low,4.0,Cat_3,A
465352,Male,Yes,61,Yes,Entertainment,1.0,Average,4.0,Cat_6,C
467561,Male,Yes,61,Yes,Artist,1.0,Low,2.0,Cat_6,B
460670,Male,No,42,Yes,Artist,6.0,Low,2.0,Cat_3,B
459489,Male,Yes,46,Yes,Doctor,1.0,Average,4.0,Cat_6,B
461233,Male,Yes,37,Yes,Entertainment,,Low,,Cat_3,D
462540,Male,Yes,32,Yes,Entertainment,6.0,Low,2.0,Cat_2,B
467411,Male,Yes,52,Yes,Artist,0.0,High,2.0,Cat_6,B
464103,Male,Yes,47,Yes,Artist,3.0,Average,2.0,Cat_6,B
459797,Male,Yes,66,Yes,Entertainment,0.0,Average,3.0,Cat_6,C
462352,Male,Yes,52,Yes,Entertainment,1.0,Average,3.0,Cat_6,B
460311,Male,No,25,Yes,Entertainment,2.0,Low,3.0,Cat_1,D
466157,Male,Yes,72,Yes,Homemaker,9.0,Low,,,A
465138,Male,No,35,Yes,Entertainment,1.0,Low,3.0,Cat_3,A
462466,Male,Yes,52,Yes,Executive,0.0,High,4.0,Cat_6,C
464209,Male,Yes,52,Yes,Executive,1.0,Average,4.0,Cat_2,C
460061,Male,No,45,Yes,Marketing,0.0,Low,1.0,Cat_3,D
466188,Male,Yes,59,Yes,Artist,4.0,Low,1.0,Cat_4,B
465024,Male,Yes,52,Yes,Executive,0.0,High,4.0,Cat_6,C
461630,Male,Yes,51,Yes,Artist,1.0,Average,3.0,Cat_6,C
463935,Male,Yes,38,Yes,Entertainment,1.0,Average,2.0,Cat_6,C
460514,Male,Yes,43,Yes,Doctor,1.0,Low,4.0,Cat_3,A
466262,Male,No,41,Yes,Entertainment,1.0,Low,2.0,Cat_3,A
459280,Male,Yes,60,Yes,,0.0,Low,1.0,Cat_6,B
460890,Male,Yes,47,Yes,Artist,0.0,Average,4.0,Cat_3,C
459706,Male,Yes,60,Yes,Entertainment,1.0,Average,3.0,Cat_6,C
460528,Male,Yes,48,Yes,Homemaker,9.0,Low,1.0,Cat_3,C
464549,Male,Yes,52,Yes,Executive,1.0,Low,4.0,Cat_6,C
464555,Male,Yes,31,Yes,Marketing,13.0,High,4.0,Cat_4,D
467110,Male,,60,Yes,Lawyer,1.0,High,1.0,Cat_6,D
461837,Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,C
460385,Male,No,31,Yes,Healthcare,0.0,Low,4.0,Cat_6,D
462551,Male,Yes,53,Yes,Doctor,14.0,Average,2.0,Cat_6,B
459958,Male,No,37,Yes,Healthcare,8.0,Low,3.0,Cat_6,D
460351,Male,Yes,70,Yes,Lawyer,0.0,Low,1.0,Cat_6,A
459515,Male,Yes,58,Yes,Engineer,0.0,Low,1.0,Cat_6,D
460829,Male,No,18,Yes,Healthcare,1.0,Low,2.0,Cat_6,D
467409,Male,No,35,Yes,Artist,8.0,Low,1.0,Cat_6,A
464565,Male,No,30,Yes,Marketing,12.0,Low,4.0,Cat_6,D
459649,Male,Yes,39,Yes,Healthcare,1.0,Average,2.0,Cat_6,D
461077,Male,No,39,Yes,Entertainment,1.0,Low,8.0,Cat_3,A
463741,Male,Yes,36,Yes,Artist,0.0,High,3.0,Cat_6,C
462111,Male,Yes,36,Yes,Artist,6.0,Average,4.0,Cat_6,C
462435,Male,Yes,49,Yes,Artist,,Average,2.0,Cat_6,C
465051,Male,Yes,63,Yes,Marketing,1.0,High,3.0,Cat_6,C
461675,Male,No,61,Yes,Lawyer,1.0,Low,1.0,Cat_6,C
460800,Male,No,52,Yes,Artist,1.0,Low,3.0,Cat_3,B
459663,Male,No,31,Yes,Artist,,Low,6.0,Cat_3,A
463047,Male,Yes,27,Yes,Homemaker,9.0,Low,,Cat_6,D
463874,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_3,D
465225,Male,No,48,Yes,Engineer,0.0,Low,1.0,Cat_2,A
465001,Male,Yes,75,Yes,Lawyer,1.0,High,2.0,Cat_6,C
466905,Male,Yes,62,Yes,Artist,0.0,Low,1.0,Cat_6,B
467008,Male,Yes,55,Yes,Artist,0.0,Average,3.0,Cat_6,C
459098,Male,Yes,42,Yes,Entertainment,,Low,3.0,Cat_6,D
465701,Male,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_4,B
466308,Male,No,33,Yes,Healthcare,0.0,Low,2.0,Cat_6,C
464039,Male,No,42,Yes,Artist,1.0,Low,2.0,Cat_6,A
459972,Male,No,35,Yes,Artist,5.0,Low,2.0,Cat_6,A
462057,Male,Yes,40,Yes,Artist,3.0,Average,4.0,Cat_3,C
466991,Male,Yes,51,Yes,Artist,3.0,Average,2.0,Cat_6,C
459453,Male,Yes,88,Yes,Lawyer,,Low,,Cat_6,B
461714,Male,Yes,82,Yes,Lawyer,1.0,High,2.0,Cat_6,A
463465,Male,Yes,43,Yes,Artist,6.0,Average,3.0,Cat_6,B
459877,Male,Yes,37,Yes,Artist,0.0,Average,3.0,Cat_6,C
460784,Male,No,32,Yes,Healthcare,0.0,Low,6.0,Cat_7,D
460137,Male,No,26,Yes,Entertainment,5.0,Low,4.0,Cat_6,D
465201,Male,Yes,39,Yes,Entertainment,0.0,Average,4.0,Cat_3,A
463929,Male,Yes,51,Yes,Doctor,11.0,Average,2.0,Cat_6,C
461998,Male,Yes,52,Yes,Artist,0.0,Average,2.0,Cat_6,C
462666,Male,Yes,48,Yes,Artist,0.0,Low,2.0,Cat_6,C
459583,Male,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_6,A
460434,Male,,57,Yes,Artist,3.0,High,3.0,Cat_6,D
460875,Male,No,35,Yes,Entertainment,0.0,Low,3.0,Cat_3,A
464541,Male,No,31,Yes,Doctor,1.0,Low,2.0,Cat_6,A
459922,Male,Yes,65,Yes,Lawyer,0.0,Low,1.0,Cat_4,D
459705,Male,Yes,25,Yes,Entertainment,1.0,Average,2.0,Cat_6,A
463583,Male,Yes,58,Yes,Artist,9.0,Average,4.0,Cat_6,C
466100,Male,Yes,66,Yes,Executive,1.0,Low,2.0,Cat_6,A
467031,Male,Yes,59,Yes,Artist,11.0,Average,3.0,Cat_6,C
467440,Male,Yes,49,Yes,Entertainment,0.0,Low,1.0,Cat_6,A
465870,Male,No,40,Yes,Artist,5.0,Low,2.0,Cat_6,A
463297,Male,No,27,Yes,Healthcare,4.0,Low,2.0,Cat_6,D
461790,Male,Yes,70,Yes,Artist,0.0,High,2.0,Cat_6,C
465904,Male,No,37,Yes,Artist,9.0,Low,1.0,Cat_6,A
465712,Male,No,47,Yes,,0.0,Low,1.0,Cat_6,B
465771,Male,Yes,52,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
465620,Male,No,37,Yes,Artist,8.0,Low,3.0,Cat_6,C
459840,Male,Yes,60,Yes,Artist,1.0,Low,1.0,Cat_6,B
461460,Male,Yes,43,Yes,Executive,7.0,High,3.0,Cat_6,B
466317,Male,Yes,37,Yes,Entertainment,4.0,Low,1.0,Cat_6,B
461962,Male,Yes,59,Yes,Entertainment,1.0,Average,3.0,Cat_6,B
467012,Male,Yes,49,Yes,Executive,1.0,High,4.0,Cat_6,C
466331,Male,Yes,26,Yes,Marketing,0.0,Low,2.0,Cat_3,D
461746,Male,Yes,53,Yes,Artist,2.0,Average,3.0,Cat_6,C
465574,Male,Yes,62,Yes,Artist,1.0,Average,3.0,Cat_3,B
466678,Male,No,28,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
465447,Male,Yes,52,Yes,Engineer,1.0,Average,3.0,Cat_4,C
467549,Male,Yes,61,Yes,Entertainment,11.0,Average,3.0,Cat_6,A
467626,Male,Yes,31,Yes,Entertainment,8.0,Average,2.0,Cat_6,B
459058,Male,No,40,Yes,Artist,1.0,Low,4.0,Cat_3,A
461983,Male,No,27,Yes,Artist,1.0,Low,3.0,Cat_6,B
467585,Male,Yes,40,Yes,Healthcare,6.0,High,2.0,Cat_6,A
460475,Male,Yes,32,Yes,Doctor,0.0,Average,2.0,Cat_3,D
463553,Male,No,27,Yes,Artist,9.0,Low,2.0,Cat_6,B
461715,Male,No,43,Yes,Entertainment,0.0,Low,5.0,Cat_2,A
459567,Male,Yes,48,Yes,Doctor,1.0,Average,2.0,Cat_6,C
459677,Male,Yes,25,Yes,Artist,8.0,Average,2.0,Cat_6,B
467911,Male,Yes,61,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
463019,Male,Yes,45,Yes,Executive,0.0,High,4.0,Cat_6,B
463026,Male,Yes,28,Yes,Doctor,,Low,2.0,Cat_6,D
465565,Male,Yes,37,Yes,Artist,1.0,Average,2.0,Cat_6,C
466796,Male,,56,Yes,Artist,0.0,Average,5.0,Cat_6,A
460922,Male,No,30,Yes,Entertainment,1.0,Low,3.0,Cat_6,D
459558,Male,No,30,Yes,Entertainment,0.0,Low,3.0,Cat_6,D
459881,Male,No,25,Yes,Healthcare,8.0,Low,4.0,Cat_6,D
460551,Male,Yes,49,Yes,Engineer,0.0,Average,2.0,Cat_3,C
465011,Male,Yes,66,Yes,Executive,3.0,High,2.0,Cat_6,C
467276,Male,No,43,Yes,Artist,12.0,Low,5.0,Cat_6,C
467406,Male,No,37,Yes,Entertainment,9.0,Low,1.0,Cat_6,D
464666,Male,Yes,41,Yes,Entertainment,2.0,Average,3.0,Cat_4,D
466898,Male,Yes,45,Yes,Executive,0.0,High,4.0,Cat_6,B
460334,Male,No,41,Yes,Artist,4.0,Low,1.0,Cat_6,A
462068,Male,Yes,55,Yes,Executive,1.0,High,3.0,Cat_6,C
467352,Male,Yes,51,Yes,Executive,1.0,High,4.0,Cat_6,C
465030,Male,Yes,35,Yes,Executive,9.0,High,4.0,Cat_6,C
462095,Male,Yes,49,Yes,Entertainment,1.0,Average,3.0,Cat_1,A
464248,Male,Yes,52,Yes,Artist,8.0,Low,3.0,Cat_6,C
464475,Male,No,25,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
460108,Male,Yes,42,Yes,Artist,1.0,Average,3.0,Cat_2,C
467756,Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,C
459563,Male,Yes,72,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
461588,Male,No,33,Yes,Marketing,0.0,Low,4.0,Cat_2,D
465691,Male,No,26,Yes,Artist,,Low,,Cat_4,A
459151,Male,Yes,60,Yes,Lawyer,9.0,Low,2.0,Cat_6,B
466918,Male,Yes,56,Yes,Artist,1.0,Average,1.0,Cat_6,C
